n_epochs,intermediate_distortion,intermediate_l1,mean_optim_l1,min_optim_l1,std_optim_l1,mean_no_optim_l1,min_no_optim_l1,std_no_optim_l1,mean_optim_distortion,min_optim_distortion,std_optim_distortion,mean_no_optim_distortion,min_no_optim_distortion,std_no_optim_distortion,scale_delta,distance_reg,learning_rate
500,0.351776,0.129681,1.029769,0.958253,0.024258,1.147168,1.032367,0.040979,3.021287,2.804352,0.282390,3.370000,3.000000,0.482804,0.100000,0.010000,0.001000
81,0.258010,0.012048,1.153310,1.049576,0.033609,1.147507,1.048467,0.035066,3.333327,3.000000,0.404081,3.330000,3.000000,0.470213,100.000000,0.000100,0.010000
122,1.746022,0.159049,1.152830,1.030907,0.053647,1.144859,1.026068,0.043809,3.447448,2.998607,0.199189,3.320000,3.000000,0.466476,100.000000,0.000100,0.100000
219,1.470814,0.301468,0.709088,0.675065,0.014423,1.142788,1.020309,0.042271,2.551092,2.403688,0.157657,3.370000,3.000000,0.482804,0.001000,0.010000,0.010000
482,0.119333,0.017458,1.142756,1.010542,0.037711,1.147903,0.997184,0.041114,3.290309,2.980689,0.403040,3.320000,3.000000,0.466476,100.000000,0.010000,0.001000
500,1.855531,0.313122,0.581898,0.557411,0.008141,1.145721,1.026068,0.038783,2.197009,2.053786,0.139458,3.270000,3.000000,0.443959,10.000000,0.100000,0.010000
66,0.005200,0.001783,1.140914,1.005654,0.040534,1.142491,1.006358,0.040783,3.275683,2.997564,0.444695,3.280000,3.000000,0.448999,0.010000,0.000100,0.000100
42,0.001680,0.000138,1.148374,1.030638,0.045477,1.148329,1.030561,0.045512,3.379929,3.000000,0.484666,3.380000,3.000000,0.485386,100.000000,10.000000,0.000100
200,0.147585,0.052097,1.101390,1.004860,0.034573,1.141989,1.012489,0.042312,3.213888,2.930062,0.362027,3.350000,3.000000,0.476970,0.100000,0.100000,0.001000
311,0.089958,0.011403,1.144847,1.025543,0.041010,1.145897,1.019681,0.042970,3.286012,2.985845,0.414650,3.300000,3.000000,0.458258,100.000000,0.100000,0.001000
36,0.021296,0.005577,1.143752,1.008340,0.046086,1.145018,1.006358,0.047135,3.389566,2.997969,0.475441,3.400000,3.000000,0.489898,0.010000,10.000000,0.001000
118,0.008079,0.003447,1.136254,0.997953,0.045157,1.137253,0.997184,0.045592,3.335749,2.995388,0.467938,3.340000,3.000000,0.473709,10.000000,0.001000,0.000100
56,0.029306,0.007685,1.146315,1.016147,0.040188,1.147041,1.012489,0.041354,3.299905,2.993775,0.446275,3.310000,3.000000,0.462493,0.100000,10.000000,0.001000
367,1.747540,0.315962,0.486973,0.455314,0.011042,1.150321,1.006358,0.048757,2.195591,2.011950,0.210207,3.370000,3.000000,0.482804,1.000000,0.010000,0.010000
37,0.024840,0.007335,1.139995,1.019029,0.041645,1.144971,1.020309,0.042666,3.345049,2.993797,0.463336,3.360000,3.000000,0.480000,0.100000,1.000000,0.001000
51,0.003389,0.001021,1.143221,1.006089,0.046010,1.144085,1.006358,0.046202,3.327627,2.998459,0.467930,3.330000,3.000000,0.470213,0.001000,0.100000,0.000100
82,0.030889,0.001585,1.145761,0.999349,0.041854,1.145172,0.997184,0.042159,3.300072,3.000000,0.449601,3.300000,3.000000,0.458258,100.000000,0.001000,0.001000
86,0.006731,0.002348,1.147069,1.047455,0.035204,1.149134,1.048467,0.035522,3.234564,2.996460,0.421896,3.240000,3.000000,0.427083,0.100000,0.100000,0.000100
84,1.740417,0.317112,1.103788,1.062776,0.019227,1.148808,1.030561,0.038350,3.151572,2.842277,0.172922,3.360000,3.000000,0.480000,0.001000,0.100000,0.100000
74,0.191943,0.002906,1.145097,1.014352,0.038988,1.143705,1.012489,0.039500,3.283080,3.000000,0.433606,3.280000,3.000000,0.448999,100.000000,10.000000,0.010000
133,1.714077,0.316565,1.029151,0.995527,0.014603,1.150363,0.997184,0.042241,3.019389,2.684784,0.165229,3.360000,3.000000,0.480000,1.000000,0.100000,0.100000
500,0.434109,0.155742,1.032158,0.965211,0.027186,1.141081,1.012489,0.045280,3.011166,2.725168,0.249733,3.310000,3.000000,0.462493,10.000000,0.000100,0.001000
45,0.003728,0.001257,1.139246,1.005942,0.041093,1.140330,1.006358,0.041289,3.336855,2.998274,0.470912,3.340000,3.000000,0.473709,0.100000,0.001000,0.000100
50,0.001727,0.000090,1.144605,1.012630,0.042225,1.144567,1.012489,0.042253,3.290078,3.000000,0.453279,3.290000,3.000000,0.453762,100.000000,10.000000,0.000100
229,0.140247,0.029440,1.136545,1.020360,0.040423,1.144072,1.006358,0.046369,3.271673,2.948607,0.396123,3.320000,3.000000,0.466476,10.000000,10.000000,0.001000
45,0.016222,0.000601,1.143736,1.012659,0.033877,1.143068,1.012489,0.033903,3.261655,3.000000,0.434377,3.260000,3.000000,0.438634,100.000000,0.000100,0.001000
500,0.393481,0.155715,1.033698,0.959626,0.027138,1.147256,1.030561,0.046555,3.052283,2.741436,0.254191,3.460000,3.000000,0.498397,10.000000,0.001000,0.001000
142,0.313980,0.010924,1.139603,1.004099,0.041162,1.138452,0.997184,0.043913,3.292805,2.996669,0.389975,3.300000,3.000000,0.458258,100.000000,10.000000,0.010000
500,0.337334,0.122972,1.078885,0.995153,0.027592,1.150482,1.006358,0.046245,3.078630,2.762033,0.264784,3.340000,3.000000,0.473709,10.000000,1.000000,0.001000
64,0.004914,0.002113,1.138349,1.019972,0.045221,1.139880,1.020309,0.045564,3.385032,2.997861,0.483187,3.390000,3.000000,0.487750,1.000000,0.100000,0.000100
110,0.010629,0.004216,1.145496,1.006626,0.039775,1.147024,1.006358,0.040302,3.284201,2.994129,0.447278,3.290000,3.000000,0.453762,10.000000,0.000100,0.000100
151,0.427638,0.037543,1.147649,1.044038,0.037618,1.147112,1.030561,0.043115,3.289698,3.000000,0.325822,3.340000,3.000000,0.473709,100.000000,0.001000,0.010000
92,0.086709,0.014815,1.154397,1.031392,0.039961,1.148470,1.020309,0.042293,3.266187,2.995144,0.419634,3.270000,3.000000,0.443959,0.001000,10.000000,0.010000
42,0.003390,0.001146,1.141330,1.032372,0.045058,1.142316,1.032867,0.045248,3.337155,2.998386,0.471172,3.340000,3.000000,0.473709,0.010000,0.100000,0.000100
68,0.006655,0.002673,1.139610,1.032489,0.039400,1.140442,1.032367,0.039709,3.316417,2.997652,0.462103,3.320000,3.000000,0.466476,10.000000,0.100000,0.000100
52,0.148083,0.004353,1.154016,1.047553,0.041457,1.150382,1.032367,0.042951,3.359244,3.000000,0.451162,3.350000,3.000000,0.476970,100.000000,1.000000,0.010000
500,2.021064,0.342203,0.486932,0.468175,0.011300,1.138592,1.026068,0.039696,2.132763,1.971563,0.115588,3.340000,3.000000,0.473709,10.000000,0.001000,0.010000
52,0.165673,0.005656,1.148276,1.014362,0.046245,1.144393,1.006358,0.046981,3.239398,3.000000,0.383836,3.220000,3.000000,0.414246,100.000000,0.010000,0.010000
110,0.428977,0.102846,1.137022,1.058649,0.030654,1.135621,1.006358,0.045323,3.190089,2.954240,0.283763,3.320000,3.000000,0.466476,0.010000,1.000000,0.010000
146,0.398609,0.020189,1.144420,1.026102,0.036663,1.149467,1.026068,0.038773,3.279175,3.000000,0.372774,3.300000,3.000000,0.458258,100.000000,1.000000,0.010000
92,0.403499,0.055030,1.117138,1.032872,0.030641,1.144474,1.019681,0.039340,3.202056,2.905035,0.291188,3.330000,3.000000,0.470213,10.000000,10.000000,0.010000
124,0.558107,0.138633,1.136748,1.070463,0.025572,1.145614,1.006358,0.046416,3.139105,2.941415,0.269060,3.380000,3.000000,0.485386,1.000000,1.000000,0.010000
191,0.574620,0.138463,1.138221,1.068214,0.023916,1.137466,1.006358,0.042797,3.133099,2.940218,0.262344,3.250000,3.000000,0.433013,1.000000,1.000000,0.010000
50,0.003168,0.001012,1.141513,0.997114,0.045000,1.142360,0.997184,0.045194,3.268263,2.998371,0.442203,3.270000,3.000000,0.443959,0.010000,0.000100,0.000100
237,0.144354,0.048627,1.125874,1.027684,0.035937,1.142184,1.012489,0.044658,3.207243,2.958113,0.353514,3.280000,3.000000,0.448999,0.010000,1.000000,0.001000
491,2.233950,0.320484,0.354703,0.342254,0.005026,1.144697,1.012489,0.045077,1.965873,1.891520,0.103373,3.330000,3.000000,0.470213,0.100000,0.000100,0.010000
481,0.299691,0.119633,1.072504,0.992293,0.028819,1.142057,1.020309,0.040210,3.084680,2.842357,0.269268,3.290000,3.000000,0.453762,10.000000,0.010000,0.001000
37,0.002569,0.000721,1.145431,1.020186,0.046698,1.145913,1.020309,0.046823,3.398246,2.998878,0.488324,3.400000,3.000000,0.489898,0.010000,10.000000,0.000100
31,0.740291,0.142061,1.189335,1.095270,0.030174,1.142294,1.019681,0.037747,3.324124,3.064240,0.241414,3.290000,3.000000,0.453762,0.100000,10.000000,1.000000
67,0.002481,0.000205,1.149952,1.006514,0.047030,1.149901,1.006358,0.047091,3.329898,3.000000,0.469277,3.330000,3.000000,0.470213,100.000000,0.000100,0.000100
393,0.276027,0.044615,1.125128,1.019863,0.031412,1.147145,0.997184,0.040388,3.284131,2.949492,0.357803,3.400000,3.000000,0.489898,10.000000,10.000000,0.001000
105,0.402061,0.100330,1.142681,1.064422,0.023850,1.149637,1.060416,0.037441,3.192919,2.971713,0.289477,3.310000,3.000000,0.462493,0.001000,1.000000,0.010000
169,0.103137,0.039838,1.117554,0.998878,0.039813,1.143802,1.006358,0.045831,3.189265,2.957798,0.363377,3.260000,3.000000,0.438634,1.000000,0.100000,0.001000
112,0.049120,0.011874,1.145506,1.026131,0.046877,1.146104,1.019681,0.049367,3.314848,2.993904,0.446496,3.330000,3.000000,0.470213,0.100000,10.000000,0.001000
86,2.765301,0.357687,0.625447,0.611787,0.006323,1.144854,1.032367,0.040521,2.423767,2.135169,0.187396,3.340000,3.000000,0.473709,0.001000,0.000100,0.100000
69,0.005395,0.002276,1.147856,1.019826,0.043524,1.149575,1.020309,0.043875,3.295644,2.997281,0.454540,3.300000,3.000000,0.458258,1.000000,0.000100,0.000100
500,0.113649,0.016203,1.148314,1.029515,0.035507,1.152242,1.026068,0.037956,3.205691,2.982930,0.361770,3.220000,3.000000,0.414246,100.000000,0.100000,0.001000
213,1.436936,0.303248,0.644027,0.613684,0.014263,1.142880,1.030561,0.041234,2.474611,2.379912,0.097743,3.340000,3.000000,0.473709,0.001000,0.001000,0.010000
40,0.003133,0.001085,1.142111,1.019915,0.045691,1.143085,1.020309,0.045879,3.327307,2.998351,0.467771,3.330000,3.000000,0.470213,0.001000,0.010000,0.000100
437,1.661994,0.314208,0.538664,0.521970,0.009086,1.147438,1.012489,0.042962,2.291365,2.105657,0.213195,3.270000,3.000000,0.443959,1.000000,0.010000,0.010000
133,2.152237,0.210583,0.796280,0.747321,0.022416,1.148789,1.019681,0.044266,2.675657,2.458076,0.105020,3.350000,3.000000,0.476970,10.000000,1.000000,0.100000
242,0.073791,0.004962,1.139912,1.000514,0.037394,1.141756,0.997184,0.038215,3.225120,2.997121,0.398747,3.230000,3.000000,0.420833,100.000000,10.000000,0.001000
100,0.003357,0.000142,1.148504,1.026175,0.039470,1.148418,1.026068,0.039504,3.349990,3.000000,0.476167,3.350000,3.000000,0.476970,100.000000,0.010000,0.000100
377,1.824318,0.312854,0.509817,0.476617,0.010276,1.147989,1.012489,0.046207,2.328130,2.145823,0.161159,3.340000,3.000000,0.473709,0.100000,0.010000,0.010000
31,1.623933,0.281208,1.292627,1.210108,0.030365,1.138371,1.006358,0.047497,3.488939,3.149549,0.203740,3.330000,3.000000,0.470213,0.001000,1.000000,1.000000
86,0.054894,0.020712,1.131314,1.016584,0.044319,1.145142,1.020309,0.047815,3.277932,2.973842,0.425971,3.320000,3.000000,0.466476,1.000000,0.100000,0.001000
85,0.836192,0.148948,1.180881,1.118812,0.022512,1.141189,0.997184,0.041328,3.185385,2.893298,0.240289,3.350000,3.000000,0.476970,1.000000,1.000000,0.100000
76,0.003032,0.000289,1.138511,1.026182,0.040888,1.138477,1.026068,0.040948,3.269858,2.999325,0.442781,3.270000,3.000000,0.443959,100.000000,1.000000,0.000100
79,0.050260,0.016156,1.127722,1.019574,0.041187,1.140784,1.026068,0.043318,3.381601,2.976059,0.458422,3.430000,3.000000,0.495076,0.100000,0.000100,0.001000
44,0.003110,0.000899,1.145259,1.006073,0.043569,1.145995,1.006358,0.043723,3.298318,2.999169,0.456414,3.300000,3.000000,0.458258,0.100000,0.000100,0.000100
31,0.211387,0.030572,1.156548,1.026051,0.038737,1.140699,0.997184,0.043351,3.379103,3.013122,0.427160,3.370000,3.000000,0.482804,0.010000,10.000000,0.100000
31,0.831141,0.134645,1.171770,1.067169,0.031715,1.139014,1.006358,0.043816,3.374980,3.061629,0.270074,3.270000,3.000000,0.443959,0.100000,10.000000,1.000000
79,0.008907,0.003091,1.143696,1.012485,0.042163,1.144739,1.012489,0.042544,3.316297,2.995052,0.461930,3.320000,3.000000,0.466476,10.000000,0.010000,0.000100
31,0.290864,0.049673,1.172188,1.078263,0.033995,1.147368,1.048496,0.038456,3.300328,2.999438,0.363247,3.280000,3.000000,0.448999,0.100000,10.000000,0.100000
73,0.005432,0.002002,1.135477,0.997122,0.043522,1.137176,0.997184,0.043884,3.305400,2.997029,0.458818,3.310000,3.000000,0.462493,0.100000,0.100000,0.000100
500,0.355869,0.123667,1.061166,0.997959,0.027820,1.146059,0.997184,0.052284,3.057917,2.811533,0.292561,3.320000,3.000000,0.466476,0.100000,0.100000,0.001000
53,0.003723,0.001083,1.143259,0.997195,0.046661,1.144151,0.997184,0.046884,3.307938,2.998633,0.460517,3.310000,3.000000,0.462493,0.100000,1.000000,0.000100
123,1.788941,0.329537,1.050150,1.007999,0.016641,1.146623,1.026068,0.047105,3.050901,2.765603,0.172469,3.320000,3.000000,0.466476,1.000000,0.100000,0.100000
31,0.852756,0.153584,1.197296,1.109904,0.026009,1.139585,1.032867,0.040242,3.271771,2.841547,0.277270,3.390000,3.000000,0.487750,0.010000,1.000000,0.100000
142,1.853223,0.140680,1.181780,1.014063,0.059694,1.151540,1.026068,0.040029,3.523914,3.001602,0.219508,3.350000,3.000000,0.476970,100.000000,0.100000,0.100000
32,0.002216,0.000653,1.144219,1.006250,0.038549,1.144695,1.006358,0.038665,3.318630,2.998958,0.465273,3.320000,3.000000,0.466476,0.100000,0.001000,0.000100
234,0.070890,0.008834,1.146528,1.013643,0.042577,1.147518,1.006358,0.044548,3.314926,2.992113,0.432867,3.330000,3.000000,0.470213,100.000000,1.000000,0.001000
92,0.005754,0.001878,1.141513,1.011975,0.038860,1.143165,1.012489,0.039166,3.344934,2.997548,0.472510,3.350000,3.000000,0.476970,0.100000,0.100000,0.000100
31,0.803323,0.149545,1.202615,1.149279,0.022879,1.143555,0.997184,0.046391,3.239203,2.894094,0.240462,3.330000,3.000000,0.470213,0.001000,1.000000,0.100000
38,0.003049,0.001001,1.149328,1.019521,0.039104,1.150074,1.019681,0.039264,3.357730,2.998761,0.477917,3.360000,3.000000,0.480000,0.001000,10.000000,0.000100
118,0.004633,0.000364,1.146427,1.032929,0.043783,1.146396,1.032367,0.043854,3.369286,2.999928,0.480875,3.370000,3.000000,0.482804,100.000000,0.100000,0.000100
91,0.043707,0.010941,1.142837,1.025723,0.045455,1.143383,1.019681,0.047574,3.323575,2.996665,0.448529,3.340000,3.000000,0.473709,0.010000,10.000000,0.001000
57,0.004463,0.001545,1.138954,1.005759,0.041274,1.140334,1.006358,0.041488,3.256401,2.997461,0.435405,3.260000,3.000000,0.438634,0.010000,0.001000,0.000100
131,1.684158,0.332629,1.120633,1.082548,0.017626,1.145531,0.997184,0.045400,3.124813,2.839176,0.179347,3.360000,3.000000,0.480000,0.010000,0.100000,0.100000
66,0.004454,0.001623,1.136525,1.025685,0.043810,1.137580,1.026068,0.044060,3.296769,2.997961,0.455014,3.300000,3.000000,0.458258,1.000000,0.001000,0.000100
468,1.360065,0.290104,0.968322,0.928879,0.020018,1.141630,1.006358,0.047044,2.870684,2.726877,0.153069,3.310000,3.000000,0.462493,0.100000,0.100000,0.010000
124,0.937039,0.082268,1.122415,1.048844,0.032282,1.143742,1.012489,0.045585,3.233348,2.927856,0.255733,3.320000,3.000000,0.466476,10.000000,10.000000,0.100000
71,0.004434,0.001423,1.144126,1.012158,0.041355,1.145350,1.012489,0.041576,3.296981,2.998187,0.455444,3.300000,3.000000,0.458258,0.010000,0.100000,0.000100
135,2.818923,0.372583,0.702937,0.687921,0.006449,1.145368,0.997184,0.045401,3.219568,2.940632,0.127818,3.320000,3.000000,0.466476,0.100000,0.000100,0.100000
75,0.005490,0.001871,1.140860,1.032181,0.040153,1.142050,1.032367,0.040413,3.306217,2.997983,0.458386,3.310000,3.000000,0.462493,0.010000,10.000000,0.000100
81,0.848713,0.074603,1.115101,1.027196,0.029799,1.149113,1.019681,0.039302,3.169629,2.816411,0.258067,3.290000,3.000000,0.453762,10.000000,10.000000,0.100000
73,0.834439,0.136833,1.175324,1.109243,0.024243,1.149241,1.026068,0.043199,3.214889,2.947340,0.267749,3.340000,3.000000,0.473709,0.100000,1.000000,0.100000
140,2.673635,0.364171,0.706980,0.686755,0.006835,1.147072,1.030561,0.040305,2.803315,2.558235,0.138938,3.330000,3.000000,0.470213,0.100000,0.001000,0.100000
62,0.004795,0.002058,1.141009,1.012208,0.041048,1.142486,1.012489,0.041361,3.305646,2.997463,0.458763,3.310000,3.000000,0.462493,1.000000,0.010000,0.000100
31,0.242202,0.045981,1.164784,1.065861,0.039953,1.138964,1.019681,0.045830,3.251788,2.940504,0.367096,3.250000,3.000000,0.433013,1.000000,10.000000,0.100000
90,0.855285,0.136031,1.178935,1.109861,0.024954,1.146876,1.006358,0.046639,3.233849,2.947730,0.255250,3.380000,3.000000,0.485386,0.010000,1.000000,0.100000
500,0.281632,0.112170,1.056302,0.980213,0.027409,1.141694,1.012489,0.041713,3.045143,2.854097,0.240829,3.310000,3.000000,0.462493,1.000000,0.010000,0.001000
34,0.002918,0.000930,1.145280,1.044649,0.036567,1.146105,1.045141,0.036689,3.287922,2.998127,0.452006,3.290000,3.000000,0.453762,0.001000,0.100000,0.000100
500,0.368684,0.145268,1.021449,0.958012,0.025370,1.143966,0.997184,0.045515,2.989557,2.816834,0.251533,3.400000,3.000000,0.489898,1.000000,0.001000,0.001000
31,0.247630,0.039874,1.162413,1.029427,0.040288,1.142955,0.997184,0.047275,3.374738,2.963954,0.415608,3.380000,3.000000,0.485386,0.001000,10.000000,0.100000
31,0.259553,0.047207,1.168630,1.078100,0.036729,1.142529,1.039450,0.041924,3.315228,3.002069,0.387057,3.290000,3.000000,0.453762,0.010000,10.000000,0.100000
500,0.300318,0.119831,1.076783,0.994906,0.029990,1.144663,1.012489,0.044776,3.118208,2.770323,0.299205,3.320000,3.000000,0.466476,10.000000,0.100000,0.001000
32,0.009851,0.000012,1.138319,0.997287,0.041589,1.138304,0.997184,0.041597,3.329999,3.000000,0.470034,3.330000,3.000000,0.470213,100.000000,0.100000,0.001000
33,0.002854,0.001102,1.142903,0.997213,0.048531,1.143701,0.997184,0.048731,3.417332,2.998780,0.491354,3.420000,3.000000,0.493559,1.000000,0.001000,0.000100
82,0.007224,0.002426,1.151866,1.052097,0.038750,1.152745,1.052793,0.038998,3.277657,2.997562,0.444826,3.280000,3.000000,0.448999,10.000000,0.000100,0.000100
63,0.004064,0.001547,1.142061,1.025665,0.039640,1.143107,1.026068,0.039841,3.297209,2.998224,0.455454,3.300000,3.000000,0.458258,1.000000,0.100000,0.000100
500,0.399740,0.150207,1.038317,0.960761,0.025208,1.141380,0.997184,0.043028,3.000247,2.710663,0.266626,3.300000,3.000000,0.458258,10.000000,0.100000,0.001000
147,1.987594,0.202413,1.200382,1.071172,0.058406,1.147432,1.019681,0.047004,3.587406,3.079912,0.218567,3.290000,3.000000,0.453762,100.000000,0.001000,0.100000
46,0.028512,0.009143,1.138701,0.997548,0.046656,1.146495,0.997184,0.048576,3.316276,2.984269,0.453539,3.340000,3.000000,0.473709,0.001000,0.010000,0.001000
46,0.004657,0.001843,1.145213,1.019505,0.038810,1.145841,1.019681,0.039014,3.337539,2.997474,0.470625,3.340000,3.000000,0.473709,10.000000,0.001000,0.000100
69,0.021877,0.000506,1.146208,1.012875,0.040447,1.145876,1.012489,0.040563,3.310441,3.000000,0.458514,3.310000,3.000000,0.462493,100.000000,10.000000,0.001000
122,0.074943,0.024286,1.126060,1.012404,0.042451,1.146488,1.020309,0.046179,3.249442,2.962701,0.404265,3.310000,3.000000,0.462493,0.010000,0.000100,0.001000
42,0.002831,0.000832,1.141280,1.006157,0.045560,1.141991,1.006358,0.045709,3.258227,2.998766,0.436826,3.260000,3.000000,0.438634,0.001000,1.000000,0.000100
303,1.735034,0.313048,0.493690,0.470860,0.009298,1.150733,1.026068,0.045699,2.211307,2.028394,0.195355,3.310000,3.000000,0.462493,0.010000,0.000100,0.010000
41,0.165142,0.008632,1.143555,1.005835,0.042359,1.137989,0.997184,0.044507,3.367768,3.000000,0.427051,3.370000,3.000000,0.482804,100.000000,0.100000,0.010000
152,1.999831,0.198036,1.199502,1.057010,0.048530,1.132771,0.997184,0.046100,3.546683,3.091781,0.217589,3.340000,3.000000,0.473709,100.000000,0.001000,0.100000
116,0.322648,0.028966,1.139659,1.024963,0.040490,1.136969,0.997184,0.047142,3.320019,2.953187,0.363015,3.350000,3.000000,0.476970,100.000000,0.010000,0.010000
413,1.446587,0.292919,0.945893,0.903756,0.014654,1.141679,1.026068,0.043847,2.743514,2.555832,0.198001,3.320000,3.000000,0.466476,1.000000,0.100000,0.010000
39,0.003279,0.001208,1.143028,1.026106,0.038605,1.143364,1.026068,0.038749,3.308835,2.998387,0.460529,3.310000,3.000000,0.462493,10.000000,0.100000,0.000100
247,1.355932,0.298666,0.735230,0.700187,0.012680,1.147736,0.997184,0.046160,2.505893,2.323948,0.143584,3.400000,3.000000,0.489898,0.001000,0.000100,0.010000
77,0.047440,0.015617,1.134124,1.009539,0.045330,1.146778,1.012489,0.048337,3.248161,2.978739,0.416636,3.280000,3.000000,0.448999,0.100000,0.100000,0.001000
69,0.002439,0.000177,1.143273,1.020417,0.044197,1.143220,1.020309,0.044239,3.290063,3.000000,0.452902,3.290000,3.000000,0.453762,100.000000,0.100000,0.000100
52,0.003179,0.000999,1.136743,1.006232,0.044801,1.137415,1.006358,0.044965,3.238314,2.999033,0.424918,3.240000,3.000000,0.427083,0.001000,10.000000,0.000100
69,0.053583,0.018369,1.129657,1.049449,0.037248,1.145311,1.059563,0.039562,3.289645,2.980194,0.423091,3.340000,3.000000,0.473709,0.001000,0.100000,0.001000
190,0.570588,0.119698,1.142918,1.071327,0.023169,1.144078,1.012489,0.038698,3.173264,2.965076,0.289725,3.320000,3.000000,0.466476,0.100000,1.000000,0.010000
301,1.292702,0.285987,0.964148,0.926135,0.017320,1.148313,1.006358,0.041405,2.852965,2.601711,0.158721,3.310000,3.000000,0.462493,0.100000,0.100000,0.010000
500,0.345674,0.121724,1.055256,0.989284,0.023826,1.140731,0.997184,0.040967,3.026869,2.823093,0.251779,3.340000,3.000000,0.473709,0.010000,0.100000,0.001000
38,0.023577,0.005847,1.144852,1.014616,0.035757,1.146241,1.012489,0.036578,3.300645,2.992831,0.449439,3.310000,3.000000,0.462493,0.001000,10.000000,0.001000
126,2.032739,0.234604,1.176880,1.038258,0.051206,1.145864,1.012489,0.041544,3.424722,3.060166,0.177401,3.270000,3.000000,0.443959,100.000000,0.000100,0.100000
32,0.002138,0.000639,1.148066,1.006254,0.046231,1.148498,1.006358,0.046350,3.318575,2.999288,0.464690,3.320000,3.000000,0.466476,0.100000,10.000000,0.000100
99,0.006223,0.002413,1.141474,1.025569,0.038876,1.143063,1.026068,0.039207,3.315195,2.997247,0.461779,3.320000,3.000000,0.466476,1.000000,1.000000,0.000100
31,0.025297,0.008446,1.132656,0.996675,0.038855,1.139996,0.997184,0.040113,3.300003,2.986398,0.448275,3.320000,3.000000,0.466476,0.001000,0.000100,0.001000
33,0.002770,0.000922,1.145879,1.032134,0.039020,1.146692,1.032367,0.039152,3.367515,2.998631,0.480882,3.370000,3.000000,0.482804,0.100000,0.010000,0.000100
98,0.423435,0.111849,1.143389,1.079456,0.028616,1.147915,1.039450,0.041576,3.146666,2.914279,0.252733,3.320000,3.000000,0.466476,0.010000,1.000000,0.010000
113,0.463233,0.117532,1.136891,1.070456,0.024604,1.139105,1.019681,0.038980,3.174815,2.971151,0.283915,3.290000,3.000000,0.453762,0.100000,1.000000,0.010000
477,2.067157,0.319093,0.436742,0.408947,0.010773,1.142324,0.997184,0.038426,2.016123,1.831977,0.208663,3.310000,3.000000,0.462493,1.000000,0.000100,0.010000
500,0.346030,0.138605,1.047104,0.980931,0.026825,1.139066,1.006358,0.046916,2.995869,2.808442,0.227467,3.230000,3.000000,0.420833,1.000000,0.100000,0.001000
500,0.310381,0.123734,1.072482,0.997120,0.029152,1.143368,0.997184,0.046742,3.075124,2.811288,0.285968,3.260000,3.000000,0.438634,10.000000,0.000100,0.001000
47,0.003407,0.001424,1.141329,1.030705,0.043274,1.141750,1.030561,0.043469,3.348242,2.998253,0.474722,3.350000,3.000000,0.476970,10.000000,1.000000,0.000100
36,0.002884,0.000982,1.145270,1.047957,0.039676,1.146182,1.048467,0.039817,3.267910,2.998446,0.442209,3.270000,3.000000,0.443959,0.001000,0.100000,0.000100
107,0.003874,0.000395,1.146163,0.997596,0.042778,1.146112,0.997184,0.042861,3.319653,3.000000,0.464824,3.320000,3.000000,0.466476,100.000000,0.100000,0.000100
300,1.610797,0.308680,0.590244,0.564878,0.012628,1.138256,0.997184,0.046531,2.372905,2.240323,0.177928,3.300000,3.000000,0.458258,0.010000,0.010000,0.010000
46,0.074330,0.013635,1.151122,1.035666,0.040889,1.147705,1.026068,0.043033,3.309850,2.987215,0.442784,3.320000,3.000000,0.466476,0.010000,10.000000,0.010000
31,0.861694,0.144763,1.180530,1.082146,0.034537,1.145968,1.030561,0.038660,3.405620,3.091062,0.249951,3.340000,3.000000,0.473709,1.000000,10.000000,1.000000
31,0.734304,0.136765,1.181513,1.114973,0.022517,1.142686,0.997184,0.042688,3.230771,2.983644,0.265830,3.280000,3.000000,0.448999,0.001000,1.000000,0.100000
221,1.099622,0.271499,0.980856,0.940472,0.017582,1.147755,1.006358,0.048418,2.889817,2.725814,0.186175,3.300000,3.000000,0.458258,0.001000,0.100000,0.010000
479,2.038929,0.342829,0.437161,0.425039,0.004077,1.144664,1.044218,0.040948,1.995111,1.866260,0.067109,3.350000,3.000000,0.476970,10.000000,0.010000,0.010000
35,0.002533,0.000700,1.147990,1.032548,0.038046,1.148593,1.032867,0.038154,3.288699,2.999130,0.452092,3.290000,3.000000,0.453762,0.001000,0.001000,0.000100
78,0.054773,0.019304,1.129830,1.024583,0.035110,1.141112,1.026068,0.037474,3.246502,2.982358,0.409652,3.280000,3.000000,0.448999,0.001000,1.000000,0.001000
42,0.880822,0.157364,1.197438,1.114947,0.024600,1.148654,0.997184,0.046636,3.231947,2.933029,0.274118,3.360000,3.000000,0.480000,1.000000,1.000000,0.100000
101,1.742203,0.314694,0.997001,0.942091,0.017214,1.143109,0.997184,0.044990,2.978293,2.685629,0.188220,3.390000,3.000000,0.487750,1.000000,0.100000,0.100000
112,0.342429,0.016965,1.140331,1.024760,0.041303,1.136371,1.012489,0.044049,3.292314,3.000000,0.385077,3.300000,3.000000,0.458258,100.000000,0.100000,0.010000
69,0.049136,0.017639,1.124827,1.000250,0.044061,1.134648,0.997184,0.047222,3.302238,2.978048,0.432475,3.340000,3.000000,0.473709,0.100000,1.000000,0.001000
122,0.012918,0.004637,1.140611,1.012658,0.042299,1.142070,1.012489,0.042921,3.324283,2.995807,0.463233,3.330000,3.000000,0.470213,10.000000,0.100000,0.000100
