n_epochs,intermediate_distortion,intermediate_l1,mean_optim_l1,min_optim_l1,std_optim_l1,mean_no_optim_l1,min_no_optim_l1,std_no_optim_l1,mean_optim_distortion,min_optim_distortion,std_optim_distortion,mean_no_optim_distortion,min_no_optim_distortion,std_no_optim_distortion,scale_delta,distance_reg,learning_rate
38,0.001428,0.000076,1.140003,1.032425,0.038502,1.139949,1.032367,0.038513,3.310062,3.000000,0.462120,3.310000,3.000000,0.462493,100.000000,0.001000,0.000100
124,0.091270,0.032915,1.119485,1.035115,0.032840,1.149764,1.061329,0.037295,3.254523,2.952098,0.407703,3.340000,3.000000,0.473709,0.010000,0.010000,0.001000
41,0.001499,0.000102,1.144458,1.019845,0.041645,1.144406,1.019681,0.041670,3.310045,3.000000,0.462024,3.310000,3.000000,0.462493,100.000000,0.010000,0.000100
35,0.097561,0.015229,1.153063,1.045600,0.041197,1.147562,1.032867,0.043523,3.326283,2.985414,0.440844,3.340000,3.000000,0.473709,0.100000,10.000000,0.010000
118,2.579636,0.353005,0.689834,0.667728,0.008338,1.148705,0.997184,0.039885,2.664075,2.293334,0.206094,3.290000,3.000000,0.453762,0.010000,0.010000,0.100000
214,1.047819,0.270383,1.000812,0.957556,0.015848,1.144976,1.019681,0.043638,2.866005,2.640885,0.170190,3.290000,3.000000,0.453762,0.001000,0.100000,0.010000
133,0.573554,0.059129,1.095872,1.029077,0.030227,1.144690,1.032367,0.039466,3.126503,2.909607,0.211211,3.260000,3.000000,0.438634,10.000000,10.000000,0.010000
375,1.382797,0.291960,0.936935,0.869325,0.018894,1.147052,1.048467,0.036974,2.837622,2.671095,0.164488,3.280000,3.000000,0.448999,1.000000,0.100000,0.010000
310,1.336614,0.281850,0.985194,0.948653,0.018000,1.143213,1.012489,0.041001,2.926167,2.759739,0.137957,3.310000,3.000000,0.462493,0.100000,0.100000,0.010000
61,0.004579,0.001638,1.144327,1.005680,0.045415,1.145801,1.006358,0.045702,3.256291,2.997613,0.435113,3.260000,3.000000,0.438634,0.010000,1.000000,0.000100
47,0.003217,0.001154,1.141597,1.032294,0.043102,1.142394,1.032367,0.043274,3.347691,2.998774,0.474473,3.350000,3.000000,0.476970,1.000000,0.100000,0.000100
122,1.796280,0.158525,1.172306,0.969807,0.061331,1.144084,1.026068,0.045471,3.529078,2.991432,0.223544,3.400000,3.000000,0.489898,100.000000,0.010000,0.100000
39,0.002652,0.000787,1.143755,1.025762,0.041077,1.144426,1.026068,0.041202,3.318161,2.998838,0.464501,3.320000,3.000000,0.466476,0.001000,0.100000,0.000100
89,1.633170,0.083941,1.181505,1.074665,0.045722,1.151956,1.019681,0.038716,3.411632,2.987742,0.251346,3.370000,3.000000,0.482804,100.000000,1.000000,0.100000
31,0.602603,0.120215,1.161924,1.069790,0.038815,1.145855,1.012489,0.042926,3.352372,2.990325,0.295116,3.290000,3.000000,0.453762,0.010000,10.000000,1.000000
